link,tipo_vivienda,n_habitaciones,n_baños,n_estacionamientos,total_superficie_m2,superficie_construida_m2,dirección
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-santa-elena/3506079,Casa,4.0,3.0,No,5000,235,"Colina, Camino santa Elena"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/el-algarroboavenida-chicureo/1550179,Casa,5.0,4.0,No,5000,230,"Colina, El Algarrobo/Avenida Chicureo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-campinas/3508436,Casa,5.0,4.0,No,5016,218,"Colina, Las campiñas"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo/3504824,Casa,6.0,7.0,No,5000,265,"Colina, Chicureo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-san-alselmoguay-guay/2716842,Casa,4.0,3.0,No,5800,320,"Colina, Camino San Alselmo/Guay Guay"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-el-cobijo/2394826,Casa,4.0,2.0,No,5400,191,"Colina, Condominio El Cobijo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-el-valle-el-algarrobo/3522067,Casa,6.0,5.0,No,5010,369,"Colina, Av. El Valle / El Algarrobo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/lo-arcaya/3377763,Casa,4.0,4.0,4,7200,230,"Colina, Lo arcaya"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-maria-de-chamisero-isanta-maria-de-chamisero/3057580,Casa,6.0,6.0,No,20,560,"Colina, Santa María De Chamisero I/Santa María de Chamisero"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/peaje-lo-pinto-colina/3506259,Casa,4.0,3.0,No,5000,290,"Colina, Peaje Lo Pinto Colina"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-club-de-golf-las-brisas-de-chicureo/3556456,Casa,6.0,4.0,No,5013,362,"Colina, Condominio Club de Golf, Las Brisas de Chicureo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/hacienda-chacabuco-km-20/3160535,Casa,5.0,4.0,No,8000,500,"Colina, Hacienda Chacabuco km 20"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/novelista-januario-espinoza/3627391,Casa,3.0,1.0,1,,45,"Colina, Novelista Januario Espinoza"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/altos-de-la-reserva/3473628,Casa,8.0,8.0,8,5800,700,"Colina, Altos de la Reserva"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-parcela-de-agrado-en-condominio-santa-luisa-de-los-ingleses/3416722,Casa,8.0,4.0,No,5145,300,"Colina, Chicureo, Parcela de Agrado en Condominio Santa Luisa de Los Ingleses."
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/los-ingleseschicureo/1703533,Casa,4.0,4.0,No,6000,320,"Colina, Los Ingleses/Chicureo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/patriota-javiera-carrera/3578693,Casa,2.0,1.0,3,115,46,"Colina, Patriota Javiera Carrera"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-excelente-parcela-de-agrado-en-casas-del-alba/3416703,Casa,6.0,,,5787,310,"Colina, Chicureo, Excelente Parcela de Agrado en Casas del Alba"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-nieves/3112163,Casa,3.0,1.0,1,166,"82,73","Colina, Las Nieves."
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo/3071091,Casa,4.0,3.0,No,5800,320,"Colina, Chicureo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-monasteriocamino-monasterio/3037970,Casa,4.0,2.0,No,5000,200,"Colina, Camino Monasterio/Camino Monasterio"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/el-valle-rotonda-piedra-rojaguay-guay-copec/2477586,Casa,6.0,4.0,No,5000,355,"Colina, El Valle / Rotonda Piedra Roja/Guay Guay / Copec"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/san-josesanta-cecilia/3383953,Casa,4.0,7.0,No,5400,400,"Colina, San José/Santa Cecilia"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-parcela-de-agrado-en-condominio-san-jose/3416746,Casa,3.0,1.0,No,5200,130,"Colina, Chicureo, Parcela de Agrado en Condominio San José."
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-elenachicureo-norte/3726063,Casa,6.0,4.0,No,5100,470,"Colina, Santa Elena/Chicureo Norte"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/reina-sur/3532920,Casa,5.0,5.0,No,5000,570,"Colina, Reina sur"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/domingo-campos-lagos/3488371,Casa,2.0,1.0,1,130,73,"Colina, Domingo Campos Lagos"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/san-vicente-de-lo-arcayageneral-san-martin-colina/2497732,Casa,4.0,3.0,No,5498,239,"Colina, San Vicente de Lo Arcaya/General San Martín - Colina"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/2975092,Casa,6.0,6.0,,20000,560,"Colina, Colina"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-san-jose/3185920,Casa,4.0,6.0,No,5400,400,"Colina, Camino san josé"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/2260832,Casa,6.0,5.0,No,6200,450,"Colina, Colina"
